Layers,Dataset,A=2 | H=128,A=4 | H=256,A=8 | H=512,A=12 | H=768,A=16 | H=1024
L=2,SQuAD_v1,29.58 | 41.44,39.54 | 51.29,53.42 | 64.99,56.97 | 66.17,
L=4,SQuAD_v1,38.59 | 49.19,58.18 | 69.12,69.99 | 79.60,73.92 | 82.59,
L=6,SQuAD_v1,44.00 | 55.78,63.81 | 74.25,75.22 | 83.55,78.25 | 86.19,
L=8,SQuAD_v1,44.88 | 55.38,67.74 | 77.48,77.39 | 85.22,80.68 | 88.38,
L=10,SQuAD_v1,51.58 | 62.44,71.41 | 80.44,78.13 | 86.08,81.33 | 88.66,
L=12,SQuAD_v1,55.88 | 66.72,71.67 | 80.62,79.74 | 87.41,80.9 | 88.2,
L=24,SQuAD_v1,,,,,83.49 | 90.6
L=2,COVID-QA,4.41 | 8.85 | 13.62,6.24 | 11.79 | 15.49,10.4 | 19.78 | 19.63,11.69 | 21.35 | 20.09,
L=4,COVID-QA,5.00 | 9.54 | 12.91,10.6 | 19.65 | 16.28,17.09 | 31.21 | 23.69,17.43 | 32.67 | 25.41,
L=6,COVID-QA,7.88 | 15.36 | 14.59,13.77 | 25.7 | 20.62,18.13 | 34.14 | 25.86,18.57 | 33.40 | 26.54,
L=8,COVID-QA,6.98 | 13.51 | 13.57,15.9 | 29.96 | 24.69,18.92 | 34.16 | 26.3,21.3 | 38.02 | 28.95,
L=10,COVID-QA,9.61 | 18.26 | 16.2,16.34 | 30.05 | 23.3,18.92 | 34.09 | 27.61,19.47 | 35.45 | 28.0,
L=12,COVID-QA,11.54 | 21.1 | 17.04,17.38 | 31.42 | 24.73,19.46 | 34.96 | 27.4,22.39 | 42.11 | 28.81,
L=24,COVID-QA,,,,,22.14 | 38.52 | 27.69
L=2,DuoRC,23.29 | 30.96 | 14.56,28.66 | 37.37 | 15.33,38.59 | 49.47 | 14.54,38.69 | 49.11 | 13.89,
L=4,DuoRC,29.48 | 37.52 | 13.29,40.19 | 51.0 | 13.26,47.1 | 59.34 | 14.29,47.69 | 59.56 | 14.08,
L=6,DuoRC,30.17 | 39.7 | 15.04,44.3 | 55.8 | 13.8,48.29 | 60.56 | 14.19,50.14 | 62.95 | 15.02,
L=8,DuoRC,31.92 | 40.73 | 13.87,44.89 | 56.83 | 14.41,49.79 | 62.06 | 14.53,49.89 | 62.68 | 14.93,
L=10,DuoRC,35.73 | 45.02 | 13.58,47.07 | 58.87 | 13.79,50.7 | 63.16 | 14.72,52.35 | 65.26 | 14.67,
L=12,DuoRC,39.9 | 49.87 | 13.81,48.96 | 60.86 | 14.18,50.88 | 63.35 | 14.78,54.95 | 68.46 | 14.72,
L=24,DuoRC,,,,,55.54 | 68.38 | 14.54
L=2,TechQA,1.61 | 4.32 | 16.14,1.61 | 4.35 | 15.52,1.61 | 4.39 | 14.87,1.61 | 4.68 | 17.09,
L=4,TechQA,1.61 | 4.72 | 13.54,1.61 | 4.13 | 17,1.93 | 5.27 | 17.21,1.61 | 6.06 | 23,
L=6,TechQA,1.61 | 4.08 | 13.8,1.61 | 4.3 | 15.6,1.61 | 5.74 | 23.44,1.61 | 6.5 | 23.21,
L=8,TechQA,1.61 | 3.56 | 12.82,1.61 | 4.56 | 22.71,1.61 | 5.91 | 26,1.61 | 6.69 | 26.39,
L=10,TechQA,1.61 | 3.44 | 13.38,1.61 | 5.1 | 21.61,1.94 | 5.87 | 21.62,1.61 | 6.5 | 26.37,
L=12,TechQA,1.61 | 3.9 | 16,1.94 | 6.03 | 22.94,1.61 | 6.86 | 29.19,1.61 | 6.36 | 26.89,
L=24,TechQA,,,,,1.61 | 6.55 | 30.79
L=2,CUAD,1.1 | 1.98 | 14.14,0.98 | 1.99 | 14.09,1.62 | 3.16 | 19.73,1.03 | 2.5 | 20.47,
L=4,CUAD,0.78 | 1.87 | 15.22,1.53 | 2.63 | 19.34,1.32 | 2.45 | 18.5,1.15 | 2.83 | 33.18,
L=6,CUAD,0.93 | 1.88 | 15.73,1.23 | 2.74 | 18.03,0.74 | 1.95 | 24.94,1.94 | 4.24 | 30.41,
L=8,CUAD,1.03 | 2.04 | 14.47,0.6 | 2.04 | 26.97,0.38 | 1.86 | 33.01,2.15 | 4.6 | 36.31,
L=10,CUAD,1.15 | 2.4 | 16.99,1.15 | 2.33 | 21.86,0.88 | 2.55 | 30.51,1.31 | 3.45 | 36.87,
L=12,CUAD,0.55 | 1.86 | 20.71,0.55 | 1.99 | 27.08,1.72 | 3.95 | 36.35,2.46 | 4.63 | 33.55,
L=24,CUAD,,,,,0.78 | 3.56 | 43.75
